sensitivity_rank,factor,display_name,baseline_weight,sensitivity_score,plus_5_pct_avg_abs_rank_change,plus_5_pct_max_rank_change,minus_5_pct_avg_abs_rank_change,minus_5_pct_max_rank_change,explanation
1,attack_confidence,Attack Confidence,0.15,3.6396,1.8018,12,1.8378,9,"Attack Confidence has a sensitivity score of 3.6396. Increasing its weight by 5% shifts average incident rank by 1.80 positions (78 moved, max shift: 12), while decreasing it shifts average rank by 1.84 positions (73 moved, max shift: 9)."
2,severity,Severity,0.2,3.3694,1.7658,10,1.6036,9,"Severity has a sensitivity score of 3.3694. Increasing its weight by 5% shifts average incident rank by 1.77 positions (77 moved, max shift: 10), while decreasing it shifts average rank by 1.60 positions (72 moved, max shift: 9)."
3,data_sensitivity,Data Sensitivity,0.15,1.8559,0.6667,6,1.1892,8,"Data Sensitivity has a sensitivity score of 1.8559. Increasing its weight by 5% shifts average incident rank by 0.67 positions (41 moved, max shift: 6), while decreasing it shifts average rank by 1.19 positions (67 moved, max shift: 8)."
4,asset_importance,Asset Importance,0.2,1.7117,0.9189,6,0.7928,4,"Asset Importance has a sensitivity score of 1.7117. Increasing its weight by 5% shifts average incident rank by 0.92 positions (56 moved, max shift: 6), while decreasing it shifts average rank by 0.79 positions (60 moved, max shift: 4)."
5,business_impact,Business Impact,0.2,1.3513,0.7027,6,0.6486,3,"Business Impact has a sensitivity score of 1.3513. Increasing its weight by 5% shifts average incident rank by 0.70 positions (44 moved, max shift: 6), while decreasing it shifts average rank by 0.65 positions (51 moved, max shift: 3)."
6,affected_users,Affected Users,0.1,0.1622,0.0721,2,0.0901,2,"Affected Users has a sensitivity score of 0.1622. Increasing its weight by 5% shifts average incident rank by 0.07 positions (7 moved, max shift: 2), while decreasing it shifts average rank by 0.09 positions (8 moved, max shift: 2)."
